Google Home,com.google.android.apps.chromecast.app
"DFNDR Security: Antivirus, Anti-hacking & Cleaner",com.psafe.msuite
Powerful Cleaner (Boost&Clean),com.powerful.cleaner
Multi Calculator,com.gomo.calculator
"Security Elite - Clean Virus, Antivirus, Booster",com.guardian.security.pri
Google Translate,com.google.android.apps.translate
"Virus Cleaner ( Hi Security ) - Antivirus, Booster",com.ehawk.antivirus.applock.wifi
Flashlight,com.jiubang.fastestflashlight
Flashlight LED – the Brightest Flashlight Android,com.flashlight.brightest.beacon.torch
Samsung Smart Switch Mobile,com.sec.android.easyMover
Super Speed Cleaner - Antivirus Cleaner & Booster,com.hyperspeed.rocketclean
Super Speed - Clean & Booster,com.super.speed.cleaner.boost
ProClean (Cleaner & Booster & AppLock),com.fast.clean
"Super Cleaner - Antivirus, Booster, Phone Cleaner",com.apps.go.clean.boost.master
Amazon Fire TV Remote App,com.amazon.storm.lightning.client.aosp
Google Authenticator,com.google.android.apps.authenticator2
RobinSoon Clean - easy & fast,com.robincleaner.lite
Control Center IOS 11,com.luutinhit.controlcenter
Move to iOS,com.apple.movetoios
Clean Master- Space Cleaner & Antivirus,com.cleanmaster.mguard
Flashlight,com.peacock.flashlight
Rocket Cleaner - Phone Boost & Clean,com.boost.thrid.rocket
QR Code Scan & Barcode Scanner,tool.scanner
Super Fast Cleaner - Boost & Clean,com.fast.cleaner.boost.master.free
AK Cleaner,com.ph9.freesecurity.app
Screen Mirroring,screenmirroring.abdelm.com.screenmirroring
"Emoji Keyboard Cute Emoticons - Theme, GIF, Emoji",emoji.keyboard.emoticonkeyboard
Power Clean - Anti Virus Cleaner and Booster App,com.lionmobi.powerclean
Virus Cleaner - Antivirus Booster (Super Security),com.fasttrack.security
Fast Cleaner - Speed Booster & Cleaner,com.powerd.cleaner
Power Battery - Battery Life Saver & Health Test,com.lionmobi.battery
Speedtest by Ookla,org.zwanoo.android.speedtest
Find My Device,com.google.android.apps.adm
Copy My Data,com.mediamushroom.copymydata
"Power Security-Anti Virus, Phone Cleaner & Booster",com.lm.powersecurity
"SuperB Cleaner - Boost, Clean & APP LOCK",com.hermes.superb.booster
QR & Barcode Scanner,com.gamma.scan
MOD-MASTER for Minecraft PE (Pocket Edition) Free,com.appblockgames.freecraftexploration
Gboard - the Google Keyboard,com.google.android.inputmethod.latin
Guitar Tuner Free - GuitarTuna,com.ovelin.guitartuna
Notepad,com.ztnstudio.notepad
"Emoji Keyboard - Cute Emoji,GIF, Sticker, Emoticon",com.smartkeyboard.emoji
Samsung Smart View,com.samsung.smartviewad
Canon PRINT Inkjet/SELPHY,jp.co.canon.bsd.ad.pixmaprint
Canon Print Service,jp.co.canon.android.printservice.plugin
Universal TV Remote Control,codematics.universal.tv.remote.control
Lightning QRcode Scanner,com.application_4u.qrcode.barcode.scanner.reader.flashlight
"Hi VPN - Free Unlimited Proxy, Hotspot VPN",com.ehawk.proxy.freevpn
"Virus Cleaner - Antivirus, Booster (MAX Security)",com.powertools.privacy
Free QR Scanner: Bar Code Scanner & QR Code Reader,app.qrcode
XFINITY My Account,com.comcast.cvs.android
Epson Print Enabler,com.epson.mobilephone.android.epsonprintserviceplugin
Call Recorder - Automatic Call Recorder,call.recorder.automatic.acr
AVG AntiVirus for Android 2018,com.antivirus
Turbo VPN – Unlimited Free VPN,free.vpn.unblock.proxy.turbovpn
Tech Coach,com.asurion.solutohome.verizon
Lookout Security Extension,com.lookout.net
QR Code Reader,tw.mobileapp.qrcode.banner
Google VR Services,com.google.vr.vrcore
Malwarebytes Security: Antivirus & Anti-Malware,org.malwarebytes.antimalware
Google,com.google.android.googlequicksearchbox
AppLock,com.domobile.applock
Remote Control for TV,com.vsray.remote.control
"Turbo Cleaner - Boost, Clean, more h5 games",com.turboc.cleaner
Free Wifi Hotspot Portable,com.vinhashapp.freewifihotspotportable
Calculator Pro - multi calculator,com.dtmobile.calculator
Space Cleaner - Super Cleaner & Booster,com.space.cleaner.booster.security.memory.free
Antivirus Free - Virus Cleaner,com.zrgiu.antivirus
Clap To Find My Phone,com.jvstudios.claptofindmyphone
WE Cleaner - Booster & Cleaner,com.mylite.browser4g
Track a Phone by Number,com.androidaplicativos.phonetrackerbynumber
Google Text-to-speech,com.google.android.tts
Super Antivirus Cleaner & Booster - MAX,com.oneapp.max
Files Go by Google: Free up space on your phone,com.google.android.apps.nbu.files
Samsung Gear,com.samsung.android.app.watchmanager
Google Opinion Rewards,com.google.android.apps.paidtasks
"Hi Keyboard - Emoji Sticker, GIF, Animated Theme",com.latininput.keyboard
Color Flash Light Alert Call,com.color.flashlight.alert
"Phone X Launcher, OS 11 iLauncher & Control Center",com.launcher.ios11.iphonex
Screen Lock - with Fingerprint Simulator,com.softwego.lockscreen
Avast Antivirus 2018,com.avast.android.mobilesecurity
BlockLauncher,net.zhuoweizhang.mcpelauncher
TruthFinder Background Check,com.truthfinder.app
Master for Minecraft-Launcher,com.groundhog.mcpemaster
Speedy Cleaner - Boost & Clean,com.speedy.cleaner.boost.optimizer
CCleaner,com.piriform.ccleaner
NordVPN - Fast & Secure VPN,com.nordvpn.android
Bitcoin Miner Android,coinminerandroid.coinminer.cma.coinminerandroid
To Clean -  Junk Clean& Saver,com.mas.fast.fulloptimizerlite
Top Boost,com.top.android.boost
Google TalkBack,com.google.android.marvin.talkback
Display Phone Screen On TV,screenmirroring.sarra.com.screenmirroring
"Security Master - Antivirus, VPN, AppLock, Booster",com.cleanmaster.security
BT Notifier,com.oss.btnotifier
Calculator,com.google.android.calculator
Calculator - Photo Vault (hidden your photos),eztools.calculator.photo.vault
"Phone Tracker By Number, Family & Friend Locator",com.gpsmap.findlocation.phonetracker
Deep Clear Clean,com.clean.memory.booster.pro
Remote for Vizio - NOW FREE,com.osfunapps.remoteforvizio
Google Now Launcher,com.google.android.launcher
Bubble Level,com.gamma.bubblelevel
"MAX AppLock - Privacy guard, Applocker",com.apps.security.master.antivirus.applock
Easy Universal TV Remote,com.easy.tv.remote
Flashlight,com.happyhollow.flash.torchlight
Network Master - Speed Test,com.lionmobi.netmaster
Gallery,com.threestar.gallery
My Spectrum,com.brighthouse.mybhn
Google Family Link,com.google.android.apps.kids.familylink
VPN Private,us.unbounded.vpn_private
AnyMote Universal Remote + WiFi Smart Home Control,com.remotefairy4
"Epic Security ( Clean Virus )– Cleaner, Antivirus",com.secplus.antivirus.lab.guard
Super Optimizer - Clean & Boost,mobi.we.super.boost.cleaner.optimizer.free
Adobe AIR,com.adobe.air
LG Mobile Switch (Sender),com.lge.mobilemigration
Real Followers & Likes Boost,com.labels.boost
My Boost,com.boost.care
Cloud Clean,com.gray.timer.phonecleanerpro
SHAREit - Transfer & Share,com.lenovo.anyshare.gps
Sweep Clean - RAM Booster & Cleaner,com.phone.sweep.cleaner
Android System WebView,com.google.android.webview
Assistive Touch,com.luutinhit.assistivetouch
PowerPro: Battery Saver - manage your battery life,com.psafe.powerpro
Epson iPrint,epson.print
Universal remote control  Tv,com.RemotePlus.RemoteControlTvPlus
Barcode Scanner,com.qrcodescanner.barcodescanner
Samsung Voice Recorder,com.sec.android.app.voicenote
Speed Locker Free,com.lock.screen.apps.security
QR Code Reader,com.mobile.qrcodereader
Screen Stream Mirroring Free,com.mobzapp.screenstream.trial
Lookout Security & Antivirus,com.lookout
Tech Expert,com.asurion.home.sprint
Clock,com.google.android.deskclock
My Sprint,com.sprint.care
Brightest Flashlight - LED Light,com.intellectualflame.ledflashlight.washer
"Norton Clean, Junk Removal",com.symantec.cleansweep
Files To SD Card,cz.bukacek.filestosdcard
Flashlight+  without advertising,kr.caramel.flash_plus
Samsung Calculator,com.sec.android.app.popupcalculator
Rokie - Roku TV Remote Control App,com.kraftwerk9.rokie
Free Video Downloader - Download Videos Fastly,com.hdvideos.saverdownlo
RAR,com.rarlab.rar
Full Clean - Junk Clean & Booster,com.fast.fulloptimizer
Free Bitcoin - BTC Miner,com.freebitcoin.beastmminer
Screen Stream Mirroring,com.mirrorcast.stream.capture
Skins for Minecraft,com.mega_mc.mcpeskinstudio
Lock screen for Pokeball,com.rain.lockscreenpokeball
DiskDigger photo recovery,com.defianttech.diskdigger
Miracast Screen Sharing App,com.nadigapp.screensharing
Puppy Dog Pattern Lock Screen,com.appsfreelocker.puppy.pattern.lockscreen
Protect Free VPN+Data Manager,com.onavo.spaceship
Brightest Flashlight Pro,com.cc.flashlight
Free QR Code Scanner,com.kitkats.qrscanner
Dual Space - Multiple Accounts & Parallel APP,com.ludashi.dualspace
"GO Keyboard - Cute Emojis, Themes and GIFs",com.jb.emoji.gokeyboard
Compass (No Ads),fr.avianey.compass
Zodiac Signs 101 - Daily Horoscope Astrology 2018,com.zodiacastrology.dailyhoro
Tv Remote For Vizio,com.remote.tv.remote.viz
Toolbox for Minecraft: PE,io.mrarm.mctoolbox
Tv Remote For All Tv,com.tv.remote.controle.tv
Smart Cleaner - Speed Booster & Junk Clean,com.bubble.shooter.casual.game.booster
T-Mobile,com.tmobile.pr.mytmobile
Followers Insights-Follower Analytic for Instagram,com.follower.insights
Hotspot Shield Free VPN Proxy & Wi-Fi Security,hotspotshield.android.vpn
New Kodi Addons,com.voowp.addonsforkodi
Find My Phone,com.fsp.android.phonetracker
Speedcheck Pro,org.speedspot.speedanalytics
File Manager,com.asus.filemanager
Classic Notes - Notepad,com.trantrigroup.note
Open in Whatsapp,com.trianguloy.openInWhatsapp
Super Power Cleaner - Clear Cache & Speed Up Phone,com.powercleaner.master
Yellow Booster– Clean & Boost,mobi.yellow.booster
Love Puppy Zipper Lock Screen,cute.app.lockscreen.love.puppy
Phone Number Tracker,com.phone.locationtracker.phonenumberlookup
Emoji lock screen pattern,com.bestlock.emojipattern
Norton Wifi Privacy VPN Proxy – Security & Unblock,com.symantec.securewifi
Calculator Plus Free,com.digitalchemy.calculator.freedecimal
Android TV Remote Control,com.google.android.tv.remote
DU Battery Saver - Battery Charger & Battery Life,com.dianxinos.dxbs
Volume Booster GOODEV,com.goodev.volume.booster
Wifi Analyzer,com.farproc.wifi.analyzer
Bt Notifier -Smartwatch notice,com.azts.btnotifier
Brother iPrint&Scan,com.brother.mfc.brprint
Boost 411,com.soleo.numbersearch
Super Cleaner - RAM Booster,com.jointigers.studio.supercleanerpro
Kaspersky Mobile Antivirus: AppLock & Web Security,com.kms.free
NETGEAR Genie,com.dragonflow
Fingerprint Lock screen,net.getiteasy.fingerprint.lockscreen
Authy 2-Factor Authentication,com.authy.authy
Repost for Instagram,com.inst.repost
Don't Touch My Phone - #1 Anti Theft Alarm,com.smartapp.donottouch
Paycom,com.paycom.mobile.ess
Automatic Call Recorder,com.appstar.callrecorder
Keyboard,com.emoji.input.gif.theme.keyboard
SMS Backup & Restore,com.riteshsahu.SMSBackupRestore
Fingerprint Pattern App Lock,sparrow.peter.applockapplicationlocker
